Sentence,Departure City,Arrival City,Trip Validity,Intermediate City
"Je pars de Paris pour aller à Lyon demain matin.","Paris","Lyon","1","None"
"Je vais de Marseille à Bordeaux en train.","Marseille","Bordeaux","1","None"
"Je pars de Nantes pour aller à Toulouse cet après-midi.","Nice","Toulouse","1","None"
"Je voyage de Lille à Montpellier ce soir.","Lille","Montpellier","1","None"
"Je vais de Nantes à Strasbourg la semaine prochaine.","Nantes","Strasbourg","1","None"
"Je quitte Lyon pour me rendre à Paris demain.","Lyon","Paris","1","None"
"Je m'envole de Marseille pour rejoindre Bordeaux.","Marseille","Bordeaux","0","None"
"Je pars de Nice ce soir pour arriver à Toulouse demain.","Nice","Toulouse","1","None"
"Je me rends de Lille à Montpellier en voiture.","Lille","Montpellier","0","None"
"Je prends un train de Nantes pour aller à Strasbourg.","Nantes","Strasbourg","1","None"
"Je vais de Paris à Lyon sans arrêt.","Paris","Lyon","1","None"
"Je pars de Lyon ce soir pour arriver à Paris demain matin.","Lyon","Paris","1","None"
"Je voyage de Marseille à Bordeaux la semaine prochaine.","Marseille","Bordeaux","1","None"
"Je pars de Nantes pour rejoindre Strasbourg en train.","Nantes","Strasbourg","1","None"
"Je prends un bus de Lille pour Montpellier demain.","Lille","Montpellier","0","None"
"Je vais à Lyon en partant de Paris demain matin.","Paris","Lyon","1","None"
"Je suis à Paris et je veux aller à Lyon.","Paris","Lyon","1","None"
"Je pars de Paris pour aller à Tokyo en bus.","Paris","None","0","None"
"Je prends un bateau de Marseille pour aller à Bordeaux demain.","Marseille","Bordeaux","0","None"
"Je voyage de Nice à Toulouse en hélicoptère.","Nice","Toulouse","0","None"
"Je me rends à Lille en prenant un vol spatial.","Destination inconnue","Lille","0","None"
"Je vais de Nantes à Strasbourg en moto sous-marine.","Nantes","Strasbourg","0","None"
"Je quitte Lyon pour me rendre à New York à vélo.","Lyon","New York","0","None"
"Je prends une trottinette pour aller de Marseille à Bordeaux.","Marseille","Bordeaux","0","None"
"Je pars de Nice en montgolfière pour rejoindre Toulouse.","Nice","Toulouse","0","None"
"Je me rends de Lille à la lune en fusée.","Destination inconnue","Lille","0","None"
"Je vais de Paris à Lyon à dos de chameau.","Paris","Lyon","0","None"
"Je pars de Lyon ce soir pour arriver à Paris en sous-marin demain matin.","Lyon","Paris","0","None"
"Je voyage de Marseille à la jungle Amazonienne en train.","Marseille","None","0","None"
"Je pars de Nantes pour rejoindre la mer en patins à roulettes.","Nantes","Mer","0","None"
"Je suis à Strasbourg et je veux aller à Paris demain.","Strasbourg","Paris","1","None"
